Urls,Alive,Result Code,Result Text,Socket Error
fightcoronatogether.com,Yes,503,Service Temporarily Unavailable,
cure2corona.com,Yes,503,Service Unavailable,
corona-safe-n95mask.com,Yes,503,Service Unavailable,
tamrinetelcorona.com,Yes,503,Service Unavailable,
8weekquarantine.com,Yes,503,Service Temporarily Unavailable,
coronavirusprotectionguide.com,Yes,503,Service Unavailable,
coronavirus-poll.com,Yes,503,Service Temporarily Unavailable,
coronajobs.international,Yes,503,Service Temporarily Unavailable,
coronavirusspecialreport.com,Yes,503,Service Unavailable,
covid-19guide.com,Yes,503,Service Unavailable,
coronamask.click,Yes,503,Service Unavailable,
familyquarantinekit.com,Yes,503,Service Unavailable,
coronavirus-tshirt.com,Yes,503,Service Unavailable,
coronawealthreport.com,Yes,503,Service Unavailable,
coronaworkathome.com,Yes,503,Service Unavailable,
coronaviral.biz,Yes,503,Service Unavailable,
hulksmashcoronavirus.com,Yes,503,Service Unavailable,
quarantinedfitness.com,Yes,503,Service Temporarily Unavailable,
coronaexpressgame.com,Yes,503,Service Unavailable,
coronafirstaid.com,Yes,503,Service Unavailable,
thecoronatest.org,Yes,503,Service Unavailable,
covidremotesupport.com,Yes,503,Service Unavailable,
medicarecovidcheck.com,Yes,503,Service Unavailable,
noquarantine15.com,Yes,503,Service Unavailable,
thecoronavirusfoundation.com,Yes,503,Service Unavailable,
coronacare24.com,Yes,503,Service Unavailable,
coronaworkouts.com,Yes,503,Service Temporarily Unavailable,
quarantinehotel.com,Yes,503,Service Temporarily Unavailable,
covid-anti.com,Yes,503,Service Unavailable,
coronavoices.co.uk,Yes,503,Service Temporarily Unavailable,
thecoronavirusguide.com,Yes,503,Service Temporarily Unavailable,
coronavirusresponsepackage.com,Yes,503,Service Unavailable,
coronavirussanitationsprayers.com,Yes,503,Service Temporarily Unavailable,
survivingthecorona.com,Yes,503,Service Unavailable,
covid-19-facemask.com,Yes,503,Service Unavailable,
guiacoronavirus.com,Yes,503,Service Unavailable,
wearestrongerthancovid19.com,Yes,503,Service Temporarily Unavailable,
oc8weekquarantine.com,Yes,503,Service Temporarily Unavailable,
covid19survivalsolution.com,Yes,503,Service Unavailable,
coronavirustips.net,Yes,503,Service Temporarily Unavailable,
coronavirus404.com,Yes,503,Service Unavailable,
covid19businessrescue.com,Yes,503,Service Unavailable,
covidradio.cl,Yes,503,Service Unavailable,
covidcovering.com,Yes,503,Service Unavailable,
covid19protections.com,Yes,503,Service Unavailable,
covid19maskrelief.com,Yes,503,Service Temporarily Unavailable,
staysafecorona.info,Yes,503,Service Temporarily Unavailable,
2020covid19.net,Yes,503,Service Unavailable,
federalcoronaloans.com,Yes,503,Service Unavailable,
coronavirusmeals.com,Yes,503,Service Unavailable,
coronavirusprotectmenow.com,Yes,503,Service Temporarily Unavailable,
covid19emergencydentalcare.com,Yes,503,Service Unavailable,
covid19worldhealth.com,Yes,503,Service Unavailable,
covid19warplan.com,Yes,503,Service Temporarily Unavailable,
coronavirusrelief.us,Yes,503,Service Temporarily Unavailable,
abacorona.com,Yes,503,Service Temporarily Unavailable,
coronavirussanitationequipment.com,Yes,503,Service Temporarily Unavailable,
indiafightscovid19.com,Yes,503,Service Unavailable,
orientacioncoronavirus.com,Yes,503,Service Temporarily Unavailable,
